storage,N,magnitude,parquet_survived,parquet_schema,pandas_mean,pandas_mean_state,pandas_mean_relerr,numpy_mean,numpy_mean_state,numpy_mean_relerr,sklearn_mean,sklearn_mean_state,sklearn_mean_relerr,gt_mean,distinct_mean_answers,pandas_std,pandas_std_state,numpy_std,numpy_std_state,sklearn_std,sklearn_std_state
float64,100,1000.0,True,double,1000.0,finite,0.0,1000.0,finite,0.0,1000.0,finite,0.0,1000.0,1,0.0,finite,0.0,finite,0.0,finite
float64,656,1.0,True,double,1.0,finite,0.0,1.0,finite,0.0,1.0,finite,0.0,1.0,1,0.0,finite,0.0,finite,0.0,finite
float64,656,100.0,True,double,100.0,finite,0.0,100.0,finite,0.0,100.0,finite,0.0,100.0,1,0.0,finite,0.0,finite,0.0,finite
float64,656,1000.0,True,double,1000.0,finite,0.0,1000.0,finite,0.0,1000.0,finite,0.0,1000.0,1,0.0,finite,0.0,finite,0.0,finite
float64,1000,1.0,True,double,1.0,finite,0.0,1.0,finite,0.0,1.0,finite,0.0,1.0,1,0.0,finite,0.0,finite,0.0,finite
float64,1000,100.0,True,double,100.0,finite,0.0,100.0,finite,0.0,100.0,finite,0.0,100.0,1,0.0,finite,0.0,finite,0.0,finite
float64,1000,1000.0,True,double,1000.0,finite,0.0,1000.0,finite,0.0,1000.0,finite,0.0,1000.0,1,0.0,finite,0.0,finite,0.0,finite
float64,10000,1.0,True,double,1.0,finite,0.0,1.0,finite,0.0,1.0,finite,0.0,1.0,1,0.0,finite,0.0,finite,0.0,finite
float64,10000,100.0,True,double,100.0,finite,0.0,100.0,finite,0.0,100.0,finite,0.0,100.0,1,0.0,finite,0.0,finite,0.0,finite
float64,10000,1000.0,True,double,1000.0,finite,0.0,1000.0,finite,0.0,1000.0,finite,0.0,1000.0,1,0.0,finite,0.0,finite,0.0,finite
float64,65504,1.0,True,double,1.0,finite,0.0,1.0,finite,0.0,1.0,finite,0.0,1.0,1,0.0,finite,0.0,finite,0.0,finite
float64,65504,100.0,True,double,100.0,finite,0.0,100.0,finite,0.0,100.0,finite,0.0,100.0,1,0.0,finite,0.0,finite,0.0,finite
float64,65504,1000.0,True,double,1000.0,finite,0.0,1000.0,finite,0.0,1000.0,finite,0.0,1000.0,1,0.0,finite,0.0,finite,0.0,finite
float64,100000,1.0,True,double,1.0,finite,0.0,1.0,finite,0.0,1.0,finite,0.0,1.0,1,0.0,finite,0.0,finite,0.0,finite
float64,100000,100.0,True,double,100.0,finite,0.0,100.0,finite,0.0,100.0,finite,0.0,100.0,1,0.0,finite,0.0,finite,0.0,finite
float64,100000,1000.0,True,double,1000.0,finite,0.0,1000.0,finite,0.0,1000.0,finite,0.0,1000.0,1,0.0,finite,0.0,finite,0.0,finite
float64,1000000,1.0,True,double,1.0,finite,0.0,1.0,finite,0.0,1.0,finite,0.0,1.0,1,0.0,finite,0.0,finite,0.0,finite
float64,1000000,100.0,True,double,100.0,finite,0.0,100.0,finite,0.0,100.0,finite,0.0,100.0,1,0.0,finite,0.0,finite,0.0,finite
float64,1000000,1000.0,True,double,1000.0,finite,0.0,1000.0,finite,0.0,1000.0,finite,0.0,1000.0,1,0.0,finite,0.0,finite,0.0,finite
