harness,session,n,fails,analytic_z,z_whole_perm,z_tool_strat,z_strat_overctrl,strat_shufflable,n_collapsed_06,fails_collapsed_06,z_whole_coll_06
claude_code,87cf9be9-6053-4e69-a3a4-0d4d24c3a20e.jsonl,9,3,-0.816,-0.819,0.459,0.443,True,9,3,-0.817
claude_code,27a61a53-694f-496d-85dd-648535b01f0a.jsonl,15,4,-1.307,-1.265,0.0,0.0,False,15,4,-1.358
claude_code,196a4f90-2537-4403-a28c-9dccb85733fa.jsonl,15,5,-0.406,-0.435,0.471,0.469,True,15,5,-0.433
codex,rollout-2026-05-29T06-35-27-019e73f2-6b9d-7990-85dc-5940fc49c982.jsonl,15,1,0.392,0.387,0.0,0.0,True,14,1,0.415
codex,rollout-2026-05-29T02-38-54-019e7319-d885-7c70-a22d-17745c4da630.jsonl,24,2,0.511,0.515,0.393,0.0,True,24,2,0.489
codex,rollout-2026-05-29T06-07-47-019e73d9-14e0-7991-be43-daeda6168e66.jsonl,27,4,-0.66,-0.651,-0.61,-0.452,True,26,3,0.714
codex,rollout-2026-05-29T19-28-27-019e76b6-209a-7071-94df-d3a9cc3123bc.jsonl,24,3,-3.3,-3.328,-3.224,0.0,True,24,3,-3.309
codex,rollout-2026-05-29T02-27-49-019e730f-b305-7f13-8be7-193200434069.jsonl,21,1,0.324,0.338,0.0,0.0,True,21,1,0.319
codex,rollout-2026-05-29T02-36-10-019e7317-5a6e-7fb1-9c7f-9eca8621346e.jsonl,21,1,0.324,0.334,0.0,0.0,True,21,1,0.336
codex,rollout-2026-05-29T04-26-37-019e737c-78ab-7d11-a712-2b129cf8ae18.jsonl,21,1,0.324,0.331,0.0,0.0,False,21,1,0.318
codex,rollout-2026-05-29T22-09-58-019e7749-fce4-76a2-bec0-cd28fb5db49a.jsonl,25,3,-1.319,-1.292,-1.314,0.0,True,25,3,-1.329
codex,rollout-2026-05-29T05-05-03-019e739f-a8ab-79e0-a3d4-0eb241370dd9.jsonl,44,3,-2.059,-2.225,-1.541,0.024,True,44,3,-2.102
codex,rollout-2026-05-29T09-40-28-019e749b-cef4-7323-98d3-9f400d2f923d.jsonl,32,3,-3.896,-3.801,-1.746,-1.753,True,30,1,0.28
codex,rollout-2026-05-29T09-24-33-019e748d-3b49-7b81-9e2a-d35d8872cf18.jsonl,43,5,-3.767,-3.82,-3.19,-2.863,True,42,4,-3.059
codex,rollout-2026-05-29T02-32-46-019e7314-3c04-7771-942a-6e5080438114.jsonl,27,1,0.283,0.281,0.284,0.0,True,27,1,0.284
codex,rollout-2026-05-29T13-45-13-019e757b-e306-7463-b5d8-7ea3eb90a3f5.jsonl,28,1,-3.606,-3.487,-3.457,0.0,True,28,1,-3.59
codex,rollout-2026-05-29T22-49-53-019e776e-88cb-7271-8013-a469c7a27977.jsonl,15,2,0.682,0.678,0.681,0.0,True,15,2,0.67
codex,rollout-2026-05-29T07-01-00-019e7409-d080-7992-9146-8c05f267bc2c.jsonl,57,4,0.607,0.601,0.695,0.738,True,57,4,0.608
codex,rollout-2026-05-29T21-20-43-019e771c-e6a4-7c02-b81a-923a213fb8d0.jsonl,49,2,0.343,0.359,0.211,0.0,True,49,2,0.346
codex,rollout-2026-05-31T08-45-19-019e7eb6-0946-7171-b5b1-1c7b85bae870.jsonl,45,3,-0.784,-0.753,-0.755,0.0,True,44,3,-0.82
codex,rollout-2026-05-31T09-29-27-019e7ede-6ed6-7251-8f05-974d9705e08e.jsonl,49,1,-4.848,-5.116,-3.812,0.0,True,49,1,-5.175
codex,rollout-2026-05-31T11-46-31-019e7f5b-ecc3-7851-9f06-aa7b08ea9221.jsonl,35,3,-5.273,-5.387,-4.518,0.0,True,35,3,-5.231
codex,rollout-2026-05-31T07-03-01-019e7e58-5de9-7fd1-84e9-80d386b9d407.jsonl,37,2,-5.146,-5.297,-4.048,0.0,True,37,2,-5.212
codex,rollout-2026-05-31T13-14-23-019e7fac-6048-7183-8e01-2d17c70000ff.jsonl,32,2,-1.3,-1.272,-0.84,0.0,True,32,2,-1.273
codex,rollout-2026-05-31T12-43-50-019e7f90-6745-7aa3-912f-bba6e0678fa8.jsonl,56,2,-1.915,-1.982,-1.556,0.0,True,56,2,-2.044
codex,rollout-2026-05-31T15-40-02-019e8031-b838-74b1-813c-a4bb4bfa24d5.jsonl,59,4,-4.892,-4.743,-3.831,-2.626,True,57,2,-1.922
codex,rollout-2026-05-31T14-45-38-019e7fff-ea92-7920-bddd-fead427a6536.jsonl,31,1,-3.808,-3.668,-3.219,0.0,True,31,1,-3.645
codex,rollout-2026-05-31T06-47-24-019e7e4a-1231-7722-8a33-b132e86e9386.jsonl,42,1,-4.472,-4.575,-3.211,0.0,True,42,1,-4.533
codex,rollout-2026-05-31T07-02-59-019e7e58-595e-7e50-b7dd-f548a9193e7e.jsonl,72,2,-2.235,-2.471,-1.85,0.391,True,72,2,-2.168
codex,rollout-2026-05-31T12-32-28-019e7f85-fca6-7630-954f-7dd1505eb474.jsonl,20,1,-3.0,-2.868,-2.264,0.0,True,20,1,-2.799
codex,rollout-2026-05-31T06-47-24-019e7e4a-1281-7ea1-90a9-535dfd632ef4.jsonl,43,1,-4.528,-4.554,-3.679,0.0,True,43,1,-4.202
codex,rollout-2026-05-31T08-29-58-019e7ea7-fa73-7b41-997c-fffb8f8b5e58.jsonl,33,2,-4.846,-4.682,-3.922,0.0,True,33,2,-4.9
codex,rollout-2026-05-31T04-26-52-019e7dc9-6875-7621-8a59-3dfa3f3b0adf.jsonl,47,7,-2.923,-2.909,-2.425,-1.929,True,44,5,-1.538
codex,rollout-2026-05-31T04-26-52-019e7dc9-6895-7552-938f-2248db3fe381.jsonl,42,5,-4.485,-4.548,-3.646,0.0,True,42,5,-4.385
codex,rollout-2026-05-31T13-20-27-019e7fb1-ee34-7f80-9e43-f97f654c552f.jsonl,41,1,-4.416,-4.513,-5.235,0.0,True,41,1,-4.169
codex,rollout-2026-05-31T11-18-59-019e7f42-b7d7-7183-bd53-fe3402db4a8c.jsonl,29,1,-3.674,-3.4,-2.788,0.0,True,29,1,-3.903
codex,rollout-2026-05-31T14-04-36-019e7fda-586e-7502-a587-8183eb43bf09.jsonl,65,2,-2.101,-2.146,-1.805,0.0,True,65,2,-2.25
codex,rollout-2026-05-31T07-14-26-019e7e62-d4cb-7b90-a19e-1033d9b2d47f.jsonl,42,2,-1.584,-1.641,-1.257,0.0,True,42,2,-1.485
codex,rollout-2026-05-31T09-06-41-019e7ec9-9880-78c3-a0b6-39c5e076930b.jsonl,39,2,-1.505,-1.494,-2.719,0.0,True,39,2,-1.556
codex,rollout-2026-05-31T08-36-29-019e7ead-f1e1-7be1-a618-1dc6843b65ec.jsonl,28,3,-4.686,-4.71,-3.559,0.0,True,28,3,-4.563
codex,rollout-2026-05-30T05-22-43-019e78d6-3097-7752-9143-98b3815605e0.jsonl,19,6,-3.976,-3.877,-3.953,-4.135,True,17,4,-3.636
codex,rollout-2026-05-30T02-34-08-019e783b-d88b-7f20-95d0-f5c5b14476b8.jsonl,18,3,0.0,-0.018,0.032,1.015,True,18,3,0.019
codex,rollout-2026-05-30T02-00-49-019e781d-5606-7df2-a247-cf6860ba30df.jsonl,59,2,-4.268,-4.308,-3.627,-1.015,True,59,2,-4.139
codex,rollout-2026-05-30T03-23-23-019e7868-ee82-78a0-9c4b-68bb88de9069.jsonl,22,2,-0.942,-0.945,-0.964,0.0,True,22,2,-0.958
codex,rollout-2026-05-30T01-00-44-019e77e6-541a-7360-b36c-b537bcba8365.jsonl,11,2,-2.635,-2.676,-2.618,0.0,True,11,2,-2.604
codex,rollout-2026-05-30T01-38-05-019e7808-860f-7c72-a4ef-2655f430c171.jsonl,10,1,-2.0,-2.117,-1.973,0.0,True,10,1,-2.076
codex,rollout-2026-05-08T19-09-51-019e0a7f-8b6b-7b71-b7ae-b519b5421c67.jsonl,11,2,-2.635,-2.806,-2.778,0.0,True,11,2,-2.675
gemini,session-2026-05-29T20-45-fe0058c9.json,18,10,-1.422,-1.413,-2.111,-2.112,True,18,10,-1.423
gemini,session-2026-05-30T08-38-b7bb1627.json,10,7,-0.164,-0.155,-0.34,-0.286,True,8,5,0.205
gemini,session-2026-05-30T00-23-20219dbe.json,16,8,-1.035,-1.041,-0.802,-0.801,True,16,8,-1.042
gemini,session-2026-05-30T10-23-82afe041.json,23,8,-4.46,-4.406,-4.373,-4.478,True,16,1,-2.564
gemini,session-2026-05-29T08-12-33b244e8.json,12,2,-0.396,-0.389,0.0,0.0,False,12,2,-0.411
gemini,session-2026-05-29T08-42-31b8cc36.json,8,4,0.0,0.013,-0.274,-0.258,True,7,4,-1.212
gemini,session-2026-05-30T09-07-1e4c64dc.json,23,3,-1.217,-1.226,-0.89,-0.865,True,23,3,-1.216
gemini,session-2026-05-31T15-26-9ee13164.json,14,6,-3.332,-3.319,-3.343,-3.34,True,14,6,-3.353
gemini,session-2026-05-30T04-20-074e9cd6.json,17,2,0.63,0.643,1.29,1.334,True,16,2,-1.943
gemini,session-2026-05-30T05-10-0828ee4c.json,18,2,-0.76,-0.775,0.0,0.0,False,18,2,-0.751
