type,keyword,constraint,viol,grammar_accepted,truly_violates
string,minLength,1,"""""",False,
string,maxLength,512,"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa""",False,
string,pattern,"""/api/v1/user_identities/\\d+/export_files""","""___VIOLATE___""",False,
integer,minimum,0,-1,False,
integer,maximum,608,609,False,
string,maximum,10,11.0,False,
string,pattern,"""^\\/api\\/v1\\/analyses\\/[^/]+$""","""___VIOLATE___""",False,
string,pattern,"""^interview$""","""___VIOLATE___""",False,
integer,minimum,0,-1,False,
integer,maximum,65535,65536,False,
string,pattern,"""^[A-Za-z][A-Za-z \\-]+$""","""___VIOLATE___""",False,
string,pattern,"""^[a-zA-Z]{2,3}(-[a-zA-Z]{4})?(-([a-zA-Z]{2}|[0-9]{3}))?(-[a-zA-Z]{5,8})?(-x(-[a-zA-Z0-9]{1,8})+)?$""","""___VIOLATE___""",False,
string,pattern,"""\\d{4}-\\d{2}""","""___VIOLATE___""",False,
string,pattern,"""(^((\\d\\d\\d\\d-\\d\\d-\\d\\d)|([0-9]+(\\.[0-9]+)?))(-[a-zA-Z][a-zA-Z0-9]*)?$)""","""___VIOLATE___""",False,
number,minimum,2048.0,2047.0,False,
string,maxLength,50,"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa""",False,
number,minimum,50,49.0,False,
number,maximum,300,301.0,False,
integer,minLength,1,"""""",False,
integer,minimum,13,12,False,
integer,maximum,130,131,True,True
string,pattern,"""^[\\w\\.-]+(?:\\/[\\w\\.-]+)*$""","""!!!!""",False,
string,pattern,"""^(deb|deb-src)\\s+(\\[\\s*(.+\\S)?\\s*\\]\\s+)?\\S+\\s+\\S+(\\s+(.+\\S))?\\s*$""","""___VIOLATE___""",False,
string,pattern,"""^[A-Fa-f0-9]{6}$""","""___VIOLATE___""",False,
string,pattern,"""[0-9]{3}:[0-9]{2}""","""___VIOLATE___""",False,
string,pattern,"""^(0x)?(([0-9]|[a-f]|[A-F]){2}){20}$""","""___VIOLATE___""",False,
string,pattern,"""^\\d+$""","""___VIOLATE___""",False,
string,minLength,1,"""""",False,
string,pattern,"""^(?:\\d{1,5}\\.){0,3}\\d{1,5}$""","""___VIOLATE___""",False,
string,pattern,"""^\\/api\\/v1\\/classifications\\/[^/]+$""","""___VIOLATE___""",False,
string,pattern,"""^(https?:\\/\\/)?([\\da-z\\.-]+)\\.([a-z\\.]{2,6})([\\/\\w \\.-]*)*\\/?$""","""___VIOLATE___""",False,
string,minLength,1,"""""",False,
string,maxLength,60,"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa""",False,
string,pattern,"""^[a-zA-Z_][a-zA-Z0-9_]*$""","""!!!!""",False,
string,pattern,"""^(\\*|\\+|#{1,6} .*)$""","""___VIOLATE___""",False,
integer,minimum,0,-1,False,
integer,maximum,1,2,False,
string,pattern,"""^v[\\d]+$""","""___VIOLATE___""",False,
string,minLength,3,"""aa""",False,
string,maxLength,50,"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa""",False,
string,minLength,3,"""aa""",False,
string,pattern,"""^#[0-9a-fA-F][0-9a-fA-F][0-9a-fA-F][0-9a-fA-F][0-9a-fA-F][0-9a-fA-F][0-9a-fA-F]?[0-9a-fA-F]?$""","""___VIOLATE___""",False,
string,pattern,"""^sha256:.+""","""___VIOLATE___""",False,
number,minimum,0,-1.0,False,
number,maximum,31,32.0,False,
string,pattern,"""^(http)|(https)://(.*)$""","""___VIOLATE___""",False,
string,pattern,"""^\\+?[0-9]+(\\.[0-9]+)? *[kKmMgGtTpP][bB]$""","""___VIOLATE___""",False,
string,pattern,"""^-?[0-9]+(\\.[0-9]+)?%$""","""___VIOLATE___""",False,
string,pattern,"""\\d+\\.\\d+\\.\\d+""","""___VIOLATE___""",False,
string,pattern,"""^[\\w\\.:-]+$""","""!!!!""",False,
number,minimum,1024,1023.0,False,
number,multipleOf,256,257,False,
string,pattern,"""^#[0-9a-fA-F]{6}$""","""___VIOLATE___""",False,
string,pattern,"""[a-z0-9_\\-.]+/[a-z0-9_\\-.]+/[a-z0-9_\\-.]+$""","""___VIOLATE___""",False,
string,pattern,"""1.1""","""___VIOLATE___""",False,
number,minimum,0.25,-0.75,False,
string,pattern,"""^subarray-0[0-9]|subarray-1[0-5]$""","""___VIOLATE___""",False,
integer,minimum,0,-1,False,
integer,maximum,4,5,False,
integer,minimum,443,442,False,
number,minimum,0,-1.0,False,
number,maximum,3,4.0,False,
string,pattern,"""^(?:[A-Za-z0-9+/]{4})*(?:[A-Za-z0-9+/]{2}==|[A-Za-z0-9+/]{3}=)$""","""___VIOLATE___""",False,
integer,minimum,10,9,False,
integer,maximum,30,31,False,
string,pattern,"""^[a-fA-F0-9]{128}$""","""___VIOLATE___""",False,
string,maxLength,32,"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa""",False,
string,maxLength,250,"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa""",True,True
string,pattern,"""^[\\w@-]*$""","""!!!!""",False,
string,pattern,"""^[a-fA-F0-9]{8}-[a-fA-F0-9]{4}-[a-fA-F0-9]{4}-[a-fA-F0-9]{4}-[a-fA-F0-9]{12}$""","""___VIOLATE___""",False,
string,minLength,0,"""""",False,
string,maxLength,20,"""aaaaaaaaaaaaaaaaaaaaa""",True,True
string,pattern,"""^([\\w\\/-]|[\\w-][\\w\\/-]*[\\w-])$""","""!!!!""",False,
string,pattern,"""^[a-f0-9]{40}$""","""___VIOLATE___""",False,
string,pattern,"""\\d\\d\\d\\d-\\d\\d-\\d\\dT\\d\\d:\\d\\d:\\d\\dZ""","""___VIOLATE___""",False,
string,pattern,"""^[\\s]+""","""___VIOLATE___""",False,
string,maxLength,120,"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa""",True,True
string,pattern,"""^(?:\\S+\\s+){0,9}\\S+$""","""   """,False,
number,minimum,1,0.0,False,
number,maximum,1000,1001.0,False,
number,minimum,0.5,-0.5,False,
string,pattern,"""(?:\\S/\\S|\\$\\S+)""","""___VIOLATE___""",False,
string,pattern,"""^((ap|eu|us|sa|ca|cn|af|me)(n|s|e|w|c|ne|se|nw|sw)[0-9]-az[0-9]|usw2-lax1-az1)$""","""___VIOLATE___""",False,
string,pattern,"""[A-Za-z0-9]+""","""!!!!""",False,
string,maxLength,128,"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa""",False,
string,pattern,"""^[^\\.\\s\\\\/:\\*\\?\""<>\\|\\x01-\\x1f]{1,32}(\\.[^\\.\\s\\\\/:\\*\\?\""<>\\|\\x01-\\x1f]{1,32}){1,3}$""","""___VIOLATE___""",False,
string,pattern,"""^.+:.+(:.+)?$""","""___VIOLATE___""",False,
string,pattern,"""^info$""","""___VIOLATE___""",False,
string,minLength,7,"""aaaaaa""",False,
string,maxLength,7,"""aaaaaaaa""",False,
string,pattern,"""^[a-z0-9]+(?:-[a-z0-9]+)*$""","""___VIOLATE___""",False,
string,pattern,"""^[0-9][0-9]:[0-9][0-9]:[0-9][0-9](?:\\.[0-9]+)?$""","""___VIOLATE___""",False,
string,pattern,"""^(\\+|-)[0-9]+$""","""___VIOLATE___""",False,
string,pattern,"""^/(.*)""","""___VIOLATE___""",False,
string,pattern,"""^https?://.+\\.ya?ml$""","""___VIOLATE___""",False,
string,pattern,"""^-?[0-9]+(\\.[0-9]+)?m$""","""___VIOLATE___""",False,
string,pattern,"""^[a-z0-9-]{7,}$""","""___VIOLATE___""",False,
string,pattern,"""^[a-zA-Z]{2}|^[a-zA-Z]{2}-[a-zA-Z]{2}?$""","""___VIOLATE___""",False,
string,minLength,2,"""a""",False,
string,maxLength,2,"""aaa""",False,
string,pattern,"""([A-Z]{2})""","""!!!!""",False,
string,pattern,"""^Gap$""","""___VIOLATE___""",False,
integer,minimum,12,11,False,
integer,maximum,16,17,False,
string,pattern,"""^[^/]+/[^/]+$""","""___VIOLATE___""",False,
string,pattern,"""^(\\s*|((\\s*[^,:&\\s]+\\s*:[^,:&]*)(,\\s*[^,:&\\s]+\\s*:[^,:&]*)*))$""","""___VIOLATE___""",False,
string,maxLength,512,"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa""",False,
string,pattern,"""^/.*""","""___VIOLATE___""",False,
string,minLength,1,"""""",False,
string,maxLength,64,"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa""",False,
string,pattern,"""^(gn|ml|lr|mg|sl)$""","""___VIOLATE___""",False,
string,pattern,"""^\\d+\\.\\d+(\\.\\d+)?$""","""___VIOLATE___""",False,
number,minimum,0,-1.0,False,
number,maximum,99999999999999.98,100000000000000.98,False,
string,minLength,2,"""a""",False,
string,maxLength,256,"""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa""",False,
string,pattern,"""^[\\w\\/-]+$""","""!!!!""",False,
string,minLength,2,"""a""",False,
string,maxLength,2,"""aaa""",False,
string,minLength,3,"""aa""",False,
